"tablescraper-selected-row","tablescraper-selected-row href"
"",""
"See below the sessions, tickets and charge point performance statistics for the following months.",""
"July 2024",""
"July Charge Point Performance Summary","https://chargeplacescotland.org/july-2024-network-performance-summary/"
"July Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2024/08/CPS_monthy_cp_report-July24.csv"
"July Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/08/CPS-JULY-Sessions.xlsx"
"July Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2024/08/JULY-24-Ticket.xlsx"
"June 2024",""
"June Charge Point Performance Summary","https://chargeplacescotland.org/june-2024-network-performance-summary/"
"June Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2024/08/monthy_cp_report-JUNE-24.csv"
"June Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/08/JUNE-24-SESSIONS.xlsx"
"June Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2024/08/CPS-JUNE-24-TICKETS.xlsx"
"May 2024",""
"Charge Point Performance Summary","https://chargeplacescotland.org/may-2024-network-performance-summary/"
"May Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2024/06/monthy_cp_report-RAW.csv"
"May Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/06/MAY-24-SESSIONS-CLEAN.xlsx"
"May Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2024/06/Tickets-CLEAN-May-24.xlsx"
"April 2024",""
"Charge Point Performance Summary","https://chargeplacescotland.org/april-2024-network-performance-data/"
"April Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2024/05/April-24-CP-report-CLEAN.csv"
"April Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/05/APR-24-SESSIONS-CLEAN.xlsx"
"April Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2024/05/Tickets-APR-24.xlsx"
"March 2024",""
"Charge Point Performance Summary","https://chargeplacescotland.org/march-2024-charge-point-performance/"
"March Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2024/04/monthy_cp_report-MARCH-24.csv"
"March Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/04/MARCH-24-sessions-CLEAN.xlsx"
"March Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2024/04/Tickets-March-24-CLEAN.xlsx"
"February 2024",""
"Charge Point Performance Summary","https://chargeplacescotland.org/february-2024-charge-point-performance/"
"February Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2024/04/monthy_cp_report-FEB24.xlsx"
"February Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/04/Sessions-FEB-24-CLEAN.xlsx"
"February Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2024/04/Tickets-CLEAN-FEB24.csv"
