"tablescraper-selected-row","tablescraper-selected-row href"
"",""
"See below the sessions, tickets and charge point performance statistics for the following months.",""
"July 2024",""
"July Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/08/CPS-JULY-Sessions.xlsx"
"June 2024",""
"June Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/08/JUNE-24-SESSIONS.xlsx"
"May 2024",""
"May Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/06/MAY-24-SESSIONS-CLEAN.xlsx"
"April 2024",""
"April Sessions","https://chargeplacescotland.org/wp-content/uploads/2024/05/APR-24-SESSIONS-CLEAN.xlsx"
"March 2024",""
"March Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/04/MARCH-24-sessions-CLEAN.xlsx"
"February 2024",""
"February Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/04/Sessions-FEB-24-CLEAN.xlsx"
"January 2024",""
"January Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/03/Sessions-JAN-24-CLEAN-1.xlsx"
"December 2023",""
"December Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/01/Sessions-DEC-23.xlsx"
"November 2023",""
"November Session Download","https://chargeplacescotland.org/wp-content/uploads/2024/05/NOV-23-sessions-CLEAN-1.csv"
"October 2023",""
"October Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/12/Sessions-OCT-24.xlsx"
"September 2023",""
"September Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/10/Public-Sessions-SEP-23.xlsx"
"August 2023",""
"August Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/09/Public-Sessions-Website-AUG-23.xlsx"
"July 2023",""
"July Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/08/SESSIONS-JULY-23.xlsx"
"June 2023",""
"June Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/Sessions-JUNE-23.xlsx"
"May 2023",""
"May Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/Sessions-PUBLIC.xlsx"
"April 2023",""
"April Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/April-Sessions-PUBLIC.xlsx"
"March 2023",""
"March Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/March-Public-Sessions.xlsx"
"February 2023",""
"February Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/Public-Sessions-FEB-2023.xlsx"
"January 2023",""
"January Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/JAN-23-Public-Sessions.xlsx"
"December 2022",""
"December Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/11/Sessions-CSV-vlookup-DEC-22-1.xlsx"
"November 2022",""
"November Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/November-Sessions.xlsx"
"October 2022",""
"October Sessions Download","https://chargeplacescotland.org/wp-content/uploads/2023/12/October-Sessions.xlsx"
