Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Apr-24,2757,51100,"ChargePlace Scotland, Falkirk Council, BP - ChargePlace Scotland",Falkirk,FK5 4AN,ChargePlace Scotland,12,0.02,0,100.00%,Public
Apr-24,2804,50762,"ChargePlace Scotland, East Coast Viners Grain Limited, BP - ChargePlace Scotland",Aberdeenshire,AB39 3UH,ChargePlace Scotland,4,11.52,0,100.00%,Public
Apr-24,2814,50789,"Autoecosse Mitsubishi, ChargePlace Scotland, BP - ChargePlace Scotland",Dundee City,DD4 8ED,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,2869,50642,"ChargePlace Scotland, VME RETAIL SYSTEMS LTD, BP - ChargePlace Scotland",Perth and Kinross,KY13 0UQ,ChargePlace Scotland,9,196.96,0,100.00%,Public
Apr-24,3017,51102,"ChargePlace Scotland, Klondyke Garden Centre, BP - ChargePlace Scotland",Falkirk,FK2 0XS,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3062,51123,"Sibbald Training, BP - ChargePlace Scotland",West Lothian,EH48 3BN,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3128,51322,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA15 2UA,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3141,51092,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA14 5EB,ChargePlace Scotland,58,0,0,100.00%,Public
Apr-24,3142,51001,"ChargePlace Scotland, Lynnfield Hotel, BP - ChargePlace Scotland",Orkney Islands,KW15 1SU,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3180,51096,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G46 9UG,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3181,51099,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G78 1SW,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3183,51098,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G76 8DY,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3287,51042,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA18 6AA,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3288,50872,"CETERIS SCOTLAND LTD, ChargePlace Scotland, BP - ChargePlace Scotland",Aberdeenshire,FK10 3LP,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3434,51120,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA14 3BJ,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3437,50651,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 1FF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,3988,50653,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 1FF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,4002,50606,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G76 0AY,ChargePlace Scotland,118,0,1,100.00%,Public
Apr-24,4157,50141,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 1JD,ChargePlace Scotland,24,394.46,0,100.00%,Public
Apr-24,4158,50652,"ChargePlace Scotland, North Lanarkshire Council, BP - ChargePlace Scotland",North Lanarkshire,ML1 5SY,ChargePlace Scotland,8,205.52,0,100.00%,Public
