Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Jul-24,APT50035,50035,"ChargePlace Scotland, Glenmoriston Arms Hotel",Highland,IV63 7YA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50045,50045,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH89LN,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50055,50055,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH1 1LT,ChargePlace Scotland,4,67.38,0,100.00%,Public
Jul-24,50059,50059,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH1 1LT,ChargePlace Scotland,10,237.78,2,100.00%,Public
Jul-24,4157,50141,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 1JD,ChargePlace Scotland,13,114.58,0,100.00%,Public
Jul-24,WBECYC_0001,50142,"ChargePlace Scotland, Midlothian Council",Midlothian,EH10 9LA,ChargePlace Scotland,44,1609,0,100.00%,Public
Jul-24,1702500364-B94060091,50168,"ChargePlace Scotland, NHS Golden Jubilee",West Dunbartonshire,G81 4SA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50206,50206,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB10 1AL,ChargePlace Scotland,3,121.48,0,100.00%,Public
Jul-24,50216,50216,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB24 5AR,ChargePlace Scotland,4,28.09,0,100.00%,Public
Jul-24,APT50217,50217,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,ChargePlace Scotland,48,769.05,0,100.00%,Public
Jul-24,50218,50218,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,ChargePlace Scotland,2,16.99,0,100.00%,Public
Jul-24,50220,50220,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EA,ChargePlace Scotland,3,16.77,1,100.00%,Public
Jul-24,50221,50221,"ChargePlace Scotland, Ullapool Harbour Trust",Highland,IV26 2UH,ChargePlace Scotland,139,3364.3,8,98.70%,Public
Jul-24,50222,50222,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EA,ChargePlace Scotland,6,66.94,0,100.00%,Public
Jul-24,APT50223,50223,"ChargePlace Scotland, Fife Council",Fife,KY11 7EJ,ChargePlace Scotland,73,395.01,1,100.00%,Public
Jul-24,50224,50224,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,ChargePlace Scotland,5,93.06,0,100.00%,Public
Jul-24,50226,50226,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,ChargePlace Scotland,4,43.46,0,100.00%,Public
Jul-24,APT50231,50231,"ChargePlace Scotland, Scottish Canals",Highland,PH33 7JH,ChargePlace Scotland,35,1094.99,0,100.00%,Public
Jul-24,4793,50233,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G62 8PB,ChargePlace Scotland,80,1556.65,1,100.00%,Public
