Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets,Uptime
Feb-23,50042,50042,"ChargePlace Scotland, East Lothian Council, East Lothian Council 22kW Tariff",East Lothian,EH41 3HA,Any,ChargePlace Scotland,32,585.6,0,100.00%
Feb-23,APT50045,50045,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH89LN,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50055,50055,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH1 1LT,Any,ChargePlace Scotland,39,816.78,0,100.00%
Feb-23,4157,50141,"ChargePlace Scotland, Midlothian Council, Midlothian Council 22kW Tariff, BP - ChargePlace Scotland",Midlothian,EH22 1JD,Any,ChargePlace Scotland,102,596.18,0,100.00%
Feb-23,WBECYC_0001,50142,"ChargePlace Scotland, Midlothian Council, Midlothian Council 7kW Tariff",Midlothian,EH10 9LA,Any,ChargePlace Scotland,103,1576.16,1,100.00%
Feb-23,1702500364-B94060091,50168,"ChargePlace Scotland, NHS Golden Jubilee",West Dunbartonshire,G81 4SA,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50206,50206,"Aberdeen City Council, Aberdeen City Council 7kW Tariff, ChargePlace Scotland",Aberdeen City,AB10 1AL,Any,ChargePlace Scotland,0,0,1,100.00%
Feb-23,APT50217,50217,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,Any,ChargePlace Scotland,121,2424.79,0,100.00%
Feb-23,50218,50218,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,Any,ChargePlace Scotland,41,344.98,0,100.00%
Feb-23,50221,50221,"ChargePlace Scotland, Ullapool Harbour Trust Rapid Tariff, Ullapool Harbour Trust",Highland,IV26 2UH,Any,ChargePlace Scotland,49,976.16,5,100.00%
Feb-23,50222,50222,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EA,Any,ChargePlace Scotland,83,996.17,1,100.00%
Feb-23,APT50223,50223,"ChargePlace Scotland, Fife Council, Fife Council 7kw Tariff",Fife,KY11 7EJ,Any,ChargePlace Scotland,63,439.38,1,100.00%
Feb-23,50226,50226,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,Any,ChargePlace Scotland,54,579.22,0,100.00%
Feb-23,APT50231,50231,"ChargePlace Scotland, Scottish Canals, Scottish Canals 22KW Tariff",Highland,PH33 7JH,Any,ChargePlace Scotland,42,1169.2,0,100.00%
