Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets ,Uptime
Jun-23,APT50035,50035,"ChargePlace Scotland, Glenmoriston Arms Hotel",Highland,IV63 7YA,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,APT50045,50045,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH89LN,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,APT50551,50551,"ChargePlace Scotland, Solway View Campsite",Dumfries and Galloway,DG6 4TR,Any,ChargePlace Scotland,21,483,1,100.00%
Jun-23,APT50948,50948,"ChargePlace Scotland, ScotRail",Midlothian,EH22 3NX,Any,ChargePlace Scotland,184,16865.9,0,100.00%
Jun-23,4157,50141,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 1JD,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,52990,52990,"Beachcomber Cafe, Tiree, ChargePlace Scotland, The Reef Inn, Tiree",Argyll and Bute,PA77 6UP,Any,ChargePlace Scotland,1,73.59,0,100.00%
Jun-23,1702500364-B94060091,50168,"ChargePlace Scotland, NHS Golden Jubilee",West Dunbartonshire,G81 4SA,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,50206,50206,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB10 1AL,Any,ChargePlace Scotland,0,0,1,100.00%
Jun-23,APT50781,50781,"ChargePlace Scotland, Treshnish and Haunn Cottages",Argyll and Bute,PA75 6QX,Any,ChargePlace Scotland,1,69.83,0,100.00%
Jun-23,52126,52126,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 4BX,Any,ChargePlace Scotland,1,62.11,0,100.00%
Jun-23,13392,53047,"ChargePlace Scotland, Crystal House, BP - ChargePlace Scotland",Highland,IV14 9AW,Any,ChargePlace Scotland,1,48.18,0,100.00%
Jun-23,FC16873,61149,"ChargePlace Scotland, Edinburgh City Council, BP - ChargePlace Scotland",City of Edinburgh,EH14 4AT,Any,ChargePlace Scotland,3,131.53,0,100.00%
Jun-23,52325,52325,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,ML8 5PS,Any,ChargePlace Scotland,17,738.11,2,100.00%
Jun-23,53143,53143,Springkell Mansion House Hotel,Dumfries and Galloway,DG11 3AL,Any,ChargePlace Scotland,8,346.02,0,100.00%
Jun-23,60527,60527,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,DG1 4UU,Any,ChargePlace Scotland,1,43.14,0,100.00%
Jun-23,52890,52890,"ChargePlace Scotland, East Lothian Council",East Lothian,EH21 8BU,Any,ChargePlace Scotland,15,624.57,0,98.10%
Jun-23,52891,52891,"ChargePlace Scotland, East Lothian Council",East Lothian,EH21 8BU,Any,ChargePlace Scotland,24,985.52,1,100.00%
Jun-23,60947,60947,ChargePlace Scotland,Dumfries and Galloway,DG1 4AP,Any,ChargePlace Scotland,8,327.82,0,100.00%
Jun-23,53819,53819,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,G71 5AT,Any,ChargePlace Scotland,63,2566.87,0,100.00%
Jun-23,50598,50598,"Caledonian Maritime Assets Ltd, ChargePlace Scotland",Na h-Eileanan an Iar,HS3 3DF,Any,ChargePlace Scotland,118,4695.59,14,99.90%
Jun-23,50240,50240,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 3DY,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,52892,52892,"ChargePlace Scotland, East Lothian Council",East Lothian,EH21 8BU,Any,ChargePlace Scotland,6,237.86,0,100.00%
Jun-23,APT50784,50784,"GPG Montrose LTD, ChargePlace Scotland",Angus,DD10 9ET,Any,ChargePlace Scotland,8,312.83,0,100.00%
Jun-23,53526,53526,"ChargePlace Scotland, Stirling Council",Stirling,FK9 4TW,Any,ChargePlace Scotland,30,1163.23,0,100.00%
Jun-23,61036,61036,"ChargePlace Scotland, West Lothian Council",West Lothian,EH52 6FY,Any,ChargePlace Scotland,23,887.12,0,100.00%
Jun-23,50253,50253,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML4 3JF,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,61409,61409,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,DG1 1LN,Any,ChargePlace Scotland,4,153.82,0,100.00%
Jun-23,52886,52886,"ChargePlace Scotland, East Lothian Council",East Lothian,EH21 8BU,Any,ChargePlace Scotland,12,460.75,0,100.00%
Jun-23,53637,53637,"ChargePlace Scotland, Falkirk Council",Falkirk,FK2 0LQ,Any,ChargePlace Scotland,21,805.86,0,99.30%
Jun-23,60500,60500,"ChargePlace Scotland, Wheatley Group",City of Edinburgh,EH13 9DW,Any,ChargePlace Scotland,37,1395.17,0,100.00%
Jun-23,54259,54259,"ChargePlace Scotland, Fife Council",Fife,KY14 6HB,Any,ChargePlace Scotland,115,4333.91,1,89.30%
Jun-23,51674,51674,"ChargePlace Scotland, Friockheim Community Hub Ltd",Angus,DD11 4TG,Any,ChargePlace Scotland,3,111.72,0,100.00%
Jun-23,53535,53535,"ChargePlace Scotland, Stirling Council",Stirling,FK9 4TW,Any,ChargePlace Scotland,1,36.99,0,100.00%
Jun-23,60164,60164,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA12 0PQ,Any,ChargePlace Scotland,12,442.81,0,100.00%
Jun-23,50462,50462,"ChargePlace Scotland, Fife Council",Fife,KY11 2JE,Any,ChargePlace Scotland,64,2344.29,0,100.00%
Jun-23,52977,52977,"ChargePlace Scotland, Highland Council",Highland,KW1 4EA,Any,ChargePlace Scotland,8,292.98,2,99.70%
Jun-23,60570,60570,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA2 8DX,Any,ChargePlace Scotland,30,1096.54,2,59.00%
Jun-23,52328,52328,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,ML3 7UD,Any,ChargePlace Scotland,45,1638.62,0,100.00%
Jun-23,52327,52327,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,ML3 7UD,Any,ChargePlace Scotland,33,1191.07,0,100.00%
Jun-23,62973,62973,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 3DN,Any,ChargePlace Scotland,1,36.09,0,100.00%
