Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of tickets,Uptime
Nov-22,2594,52128,"AV Department Ltd 7kW Tariff, AV Dept, ChargePlace Scotland, BP - ChargePlace Scotland",Fife,KY11 9JF,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,2602,50615,"ChargePlace Scotland, East Port Garage",Fife,KY14 6HA,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,2757,51100,"ChargePlace Scotland, Falkirk Council, Falkirk Council 22kw Tariff, BP - ChargePlace Scotland",Falkirk,FK5 4AN,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,2804,50762,"ChargePlace Scotland, East Coast Viners",Aberdeenshire,AB39 3UH,Any,ChargePlace Scotland,12,62.02,1,100.00%
Nov-22,2814,50789,"Autoecosse Mitsubishi, ChargePlace Scotland, BP - ChargePlace Scotland",Dundee City,DD4 8ED,Any,ChargePlace Scotland,2,9.49,0,100.00%
Nov-22,2869,50642,"ChargePlace Scotland, VME Retail, VME Retail 7KW Tariff, BP - ChargePlace Scotland",Perth and Kinross,KY13 0UQ,Any,ChargePlace Scotland,2,19.59,0,100.00%
Nov-22,3017,51102,"ChargePlace Scotland, Klondyke Garden Centre, BP - ChargePlace Scotland",Falkirk,FK2 0XS,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,3062,51123,"Sibbald Training, BP - ChargePlace Scotland",West Lothian,EH48 3BN,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,3128,51322,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA15 2UA,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,3141,51092,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA14 5EB,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,3180,51096,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G46 9UG,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,3181,51099,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G78 1SW,Any,ChargePlace Scotland,286,3596.96,1,100.00%
Nov-22,3183,51098,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G76 8DY,Any,ChargePlace Scotland,261,4989.88,3,100.00%
Nov-22,3287,51042,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA18 6AA,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,3288,50872,"Ceteris (Scotland) Ltd, ChargePlace Scotland, BP - ChargePlace Scotland",Aberdeenshire,FK10 3LP,Any,ChargePlace Scotland,24,0,0,100.00%
Nov-22,3434,51120,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA14 3BJ,Any,ChargePlace Scotland,30,227.58,0,100.00%
Nov-22,3437,50651,"ChargePlace Scotland, Midlothian Council, Midlothian Council 22kW Tariff, BP - ChargePlace Scotland",Midlothian,EH22 1FF,Any,ChargePlace Scotland,28,394.72,0,100.00%
Nov-22,3988,50653,"ChargePlace Scotland, Midlothian Council, Midlothian Council 22kW Tariff, BP - ChargePlace Scotland",Midlothian,EH22 1FF,Any,ChargePlace Scotland,45,99.74,0,100.00%
Nov-22,4002,50606,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G76 0AY,Any,ChargePlace Scotland,268,195.18,4,100.00%
Nov-22,4157,50141,"ChargePlace Scotland, Midlothian Council, Midlothian Council 22kW Tariff, BP - ChargePlace Scotland",Midlothian,EH22 1JD,Any,ChargePlace Scotland,39,573.68,0,100.00%
Nov-22,4158,50652,"ChargePlace Scotland, North Lanarkshire Council, BP - ChargePlace Scotland",North Lanarkshire,ML1 5SY,Any,ChargePlace Scotland,107,1413.17,0,100.00%
Nov-22,4208,52528,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Ayrshire,KA1 2AF,Any,ChargePlace Scotland,47,743.52,1,100.00%
Nov-22,4391,52508,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G67 2UH,Any,ChargePlace Scotland,7,40.05,1,100.00%
Nov-22,4530,51364,"ChargePlace Scotland, InterMoor Ltd, InterMoor Ltd 11kW Tariff, BP - ChargePlace Scotland",Aberdeen City,AB23 8JX,Any,ChargePlace Scotland,43,288.25,0,100.00%
Nov-22,4532,50582,"ChargePlace Scotland, University Of Strathclyde ARFC, BP - ChargePlace Scotland",Renfrewshire,PA4 9LJ,Any,ChargePlace Scotland,99,1643.38,0,100.00%
Nov-22,4639,52518,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Moray,IV30 1QP,Any,ChargePlace Scotland,221,3767.73,2,100.00%
Nov-22,4748,52538,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Renfrewshire,G77 6NR,Any,ChargePlace Scotland,287,3644.58,0,100.00%
Nov-22,4749,52532,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",West Lothian,EH49 7DH,Any,ChargePlace Scotland,245,3692.83,0,100.00%
Nov-22,4752,52503,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,ML6 9EX,Any,ChargePlace Scotland,11,46.08,0,100.00%
Nov-22,4754,52519,"ScotRail, BP - ChargePlace Scotland",Falkirk,FK1 1QW,Any,ChargePlace Scotland,30,498.69,0,100.00%
Nov-22,4756,52501,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",West Lothian,EH48 3LP,Any,ChargePlace Scotland,210,3550.1,3,100.00%
Nov-22,4773,52510,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",City of Edinburgh,EH21 8QT,Any,ChargePlace Scotland,149,2176.76,3,100.00%
Nov-22,4775,52524,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Inverclyde,PA15 1DH,Any,ChargePlace Scotland,68,1213.58,1,100.00%
Nov-22,4780,52161,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Ayrshire,KA24 4DE,Any,ChargePlace Scotland,122,1970.77,0,100.00%
Nov-22,4781,52115,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeen City,AB11 6LX,Any,ChargePlace Scotland,70,1581.7,0,100.00%
Nov-22,4792,50235,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G66 5BG,Any,ChargePlace Scotland,288,5643.63,1,100.00%
Nov-22,4793,50233,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G62 8PB,Any,ChargePlace Scotland,317,5933.87,4,100.00%
Nov-22,4797,52522,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",South Ayrshire,KA26 9HF,Any,ChargePlace Scotland,100,1084.75,1,100.00%
Nov-22,4798,52506,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Stirling,FK9 4PH,Any,ChargePlace Scotland,122,2173.86,0,100.00%
Nov-22,4823,50491,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML5 3EK,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,4851,52533,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Lothian,EH32 0LS,Any,ChargePlace Scotland,152,3253.28,1,100.00%
Nov-22,4889,52548,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Lothian,EH33 1NG,Any,ChargePlace Scotland,194,2226.7,2,100.00%
Nov-22,4890,52521,"ScotRail, BP - ChargePlace Scotland",North Ayrshire,KA14 3BQ,Any,ChargePlace Scotland,50,1035.35,0,100.00%
Nov-22,4891,52546,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",City of Edinburgh,EH9 4BY,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,4892,52547,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Inverclyde,PA18 6AA,Any,ChargePlace Scotland,79,1701.89,2,100.00%
Nov-22,4893,52535,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Lothian,EH21 6TT,Any,ChargePlace Scotland,140,2104.35,1,100.00%
Nov-22,4925,52529,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",West Lothian,EH27 8BP,Any,ChargePlace Scotland,140,2297.28,0,100.00%
Nov-22,4928,52514,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Lothian,EH42 1JX,Any,ChargePlace Scotland,125,620.99,2,100.00%
Nov-22,4929,52526,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Argyll and Bute,G84 7QF,Any,ChargePlace Scotland,82,756.07,4,100.00%
Nov-22,5013,52515,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeen City,AB21 7EQ,Any,ChargePlace Scotland,151,3309.78,1,100.00%
Nov-22,10076,52513,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Dumfries and Galloway,DG1 1NF,Any,ChargePlace Scotland,225,4961.98,1,100.00%
Nov-22,10093,52539,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Perth and Kinross,PH2 8RT,Any,ChargePlace Scotland,106,1311.47,1,100.00%
Nov-22,10094,52502,"ScotRail, BP - ChargePlace Scotland",Angus,DD11 1RQ,Any,ChargePlace Scotland,1,50.67,1,100.00%
Nov-22,10096,52553,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G65 9HT,Any,ChargePlace Scotland,135,1930.87,0,100.00%
Nov-22,10098,52509,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Fife,KY15 5HX,Any,ChargePlace Scotland,176,2631.45,0,100.00%
